id,send_date,comment
131,2016/11/20 17:48,你们看过这动漫就有优越感了，谁给你们的？
132,2016/11/20 17:49,二周目提醒：EVA迷请关闭弹幕，要不然影响心情
133,2016/11/20 17:51,野生的“世界”出现啦！
134,2016/11/20 17:51,见E滚！
135,2016/11/20 17:51,见封滚
136,2016/11/20 17:53,卡在了奇怪的地方
137,2016/11/20 17:55,小时候看的东西都忘记了，当初上学的时候强行补完TV版+剧场三部
138,2016/11/20 17:55,画质惊人
139,2016/11/20 17:56,爆
140,2016/11/20 17:56,我靠，炸了
141,2016/11/20 17:56,鬼畜区鬼畜区的233
142,2016/11/20 17:57,开始崩坏
143,2016/11/20 17:57,高帧数太爽了
144,2016/11/20 17:58,给大神跪了
145,2016/11/20 17:58,还有俩老剧场版死与新生和真心为你
146,2016/11/20 17:58,鸡皮疙瘩啊啊啊啊
147,2016/11/20 17:59,明日香是我的
148,2016/11/20 18:00,EVA都不知道的真是ACG的吗？
149,2016/11/20 18:01,逆天
150,2016/11/20 18:01,神作不是让你们用来炫耀的
151,2016/11/20 18:01,点啊
152,2016/11/20 18:02,帅炸
153,2016/11/20 18:02,我是00后eva我天天吹
154,2016/11/20 18:03,@沙耶
155,2016/11/20 18:03,追定了
156,2016/11/20 18:04,音乐和画面节奏把握好棒
157,2016/11/20 18:04,up6666
158,2016/11/20 18:05,碉堡了！！！
159,2016/11/20 18:05,bgm鬼畜2333
160,2016/11/20 18:06,也叫新世纪福音战士
161,2016/11/20 18:07,说国漫的，过来我保证不打死你
162,2016/11/20 18:07,..
163,2016/11/20 18:07,调整到超清还是30帧
164,2016/11/20 18:08,漂亮的视频
165,2016/11/20 18:08,钢炼！！！！！！
166,2016/11/20 18:09,这是新剧场版吗
167,2016/11/20 18:10,暂停成功
168,2016/11/20 18:10,弹幕断层
169,2016/11/20 18:10,3D渲染技术
170,2016/11/20 18:10,硬币我要你有何用？
171,2016/11/20 18:11,投币投币！！
172,2016/11/20 18:11,ave
173,2016/11/20 18:11,eva
174,2016/11/20 18:12,厉害了 火钳刘明
175,2016/11/20 18:12,这和我看的不是一个画质 Σ( ° △ °|||)︴
176,2016/11/20 18:13,00后不知道EVA的站住我02的
177,2016/11/20 18:15,颤抖地看着
178,2016/11/20 18:15,这张画质有点炸裂
179,2016/11/20 18:17,希望这个番画质充值一下，绝对逆天
180,2016/11/20 18:17,我天 这画质 牛逼
181,2016/11/20 18:17,撸一天了，表示停不下来了已经
182,2016/11/20 18:18, 前面说有生之年的，20周年的找打脸么，官方有消息是2017年8月了
183,2016/11/20 18:18,壮哉我大福音战士
184,2016/11/20 18:19,我大EVA还能再战
185,2016/11/20 18:20,机械舞的曲子
186,2016/11/20 18:22,卧槽给我顶上去，看着太爽了
187,2016/11/20 18:23,kkk
188,2016/11/20 18:23,头脑爆炸
189,2016/11/20 18:24,人类补奸计划
190,2016/11/20 18:26,我大eva还能再战500年
191,2016/11/20 18:29,1302
192,2016/11/20 18:31,TV版最经典，但是有点经历才好看懂，希望越来越多的人喜欢EVA
