title,area,price,low_price,high_price,avg,type,storage,halls,good,ok,bad,address,phone_num
弘毅大酒店,武昌区,1388-2088,1388,2088,1738,星级酒店,28,2,1,0,0,武汉市武昌区东湖路136号,027-87823761
九龙大酒店（雄楚店）,洪山区,,0,0,0,星级酒店,,,1,0,0,武汉市洪山区武昌雄楚大街272号(省出版城旁),
颐和尚景,洪山区,,0,0,0,品牌餐饮,,,1,0,0,武汉市洪山区东湖新技术开发区光谷创业街66号(近华中科技大学文华学院),
龟缘会馆,汉阳区,1288,1288,1288,1288,喜宴酒店,30,1,2,0,0,武汉市汉阳区龟山北路1号创意园36栋(近神曲酒吧),027-87823715
丹宁绘酒窖餐厅,江岸区,1880-3280,1880,3280,2580,喜宴酒店,8,,1,0,0,武汉市江岸区解放大道1435号(近青少年宫大门),027-87823715
珞珈山国际酒店,武昌区,1680-2088,1680,2088,1884,喜宴酒店,5,,1,0,0,武汉市武昌区武昌区武珞路723号,
国创楚源蓝天花园酒店,武昌区,1388-2288,1388,2288,1838,喜宴酒店,10,,1,0,0,武汉市武昌区武昌区卓刀泉北路(楚源大厦旁),
银湖三五酒店,硚口区,858-1888,858,1888,1373,喜宴酒店,10,2,1,0,0,武汉市硚口区硚口区古田三路,
醉江月,江夏区,898-1598,898,1598,1248,喜宴酒店,10,2,2,0,0,武汉市江夏区江夏区纸坊青龙路319号,
武汉华美达光谷大酒店,洪山区,2088-3088,2088,3088,2588,星级酒店,40,3,1,0,0,武汉市洪山区珞瑜路726号,027-87806888
和怡酒轩,武昌区,1588,1588,1588,1588,品牌餐饮,10,1,1,0,0,武汉市武昌区中山路347号小东门中铁大厦院内,027-87823761
兴源宾馆,江岸区,888-1288,888,1288,1088,喜宴酒店,10,,0,0,0,武汉市江岸区二七路145号,
武汉乐福园酒店（钟家村店）,汉阳区,988,988,988,988,喜宴酒店,10,,1,0,0,武汉市汉阳区钟家村汉阳公园旁,
武汉乐福园酒店（七里庙店）,汉阳区,,0,0,0,喜宴酒店,15,,1,0,0,武汉市汉阳区七里庙 王家湾商圈,
香格里拉大饭店,江岸区,,0,0,0,喜宴酒店,50,,1,0,0,武汉市江岸区汉口建设大道700号(汉口商业金融，靠近武汉图书馆和杂技厅),
武汉乐福园酒店（瓜提店）,汉阳区,,0,0,0,喜宴酒店,15,,1,0,0,武汉市汉阳区鹦鹉大道瓜堤中百仓储旁,
武汉汉口泛海喜来登酒店,江岸区,3688,3688,3688,3688,星级酒店,10,2,1,0,0,武汉市江岸区范湖路80号云彩路泛海城市广场,027-87823715
新海景酒店（东西湖店）,东西湖区,,0,0,0,喜宴酒店,,,0,0,0,武汉市东西湖区吴北路园丁村168号,
武汉铁桥建国大酒店,汉阳区,,0,0,0,喜宴酒店,,,1,0,0,武汉市汉阳区汉阳大道648号,
艳阳天时尚旅店解放公园店,江岸区,888,888,888,888,品牌餐饮,13,1,1,0,0,武汉市江岸区解放公园路19号,027-87823715
湖滨花园酒店,洪山区,998-1800,998,1800,1399,喜宴酒店,20,,1,0,0,武汉市洪山区武汉市洪山区珞瑜路533号（东新管委会对面),
艳阳天武汉彭刘杨酒家,武昌区,888,888,888,888,品牌餐饮,12,1,1,0,0,武汉市武昌区彭刘杨路268号,027-87823761
欢乐谷婚礼园,青山区,1999,1999,1999,1999,特色场地,20,1,2,0,0,武汉市青山区东湖生态旅游风景区欢乐大道196号,027-86780000
新俊得月楼,汉阳区,1599,1599,1599,1599,品牌餐饮,80,4,2,0,0,武汉市汉阳区鹦鹉大道46号长江广场新俊得月楼酒店1-4楼(近江汉一桥),027-84841111
琴台食上,汉阳区,1718-3188,1718,3188,2453,特色场地,10,,3,0,0,武汉市汉阳区知音大道琴台大剧院对面,027-87823715
联投新大地,武昌区,1288,1288,1288,1288,星级酒店,8,1,1,0,0,武汉市武昌区武珞路330号,027-87823715
卓尔悦玺酒店,黄陂区,1588-1888,1588,1888,1738,星级酒店,18,2,2,0,0,武汉市黄陂区巨龙大道卓尔NO.1企业社区内迎宾路,027-87823715
九真山接待中心,蔡甸区,988,988,988,988,特色场地,40,1,3,0,0,武汉市蔡甸区永安街炉房村九真山景区,
