rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
34,活着,9.1,278851, 张艺谋 Yimou Zhang,1994,中国大陆 香港,剧情 历史 家庭,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
35,罗马假日,8.9,397588, 威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
36,大话西游之月光宝盒,8.9,411318, 刘镇伟 Jeffrey Lau,1995,香港 中国大陆,喜剧 动作 爱情 奇幻 冒险 古装,旷古烁今。,https://movie.douban.com/subject/1299398/
37,飞屋环游记,8.9,512804, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
38,两杆大烟枪,9.0,280800, Guy Ritchie,1998,英国,剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
39,窃听风暴,9.1,230515, 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck,2006,德国,剧情 悬疑,别样人生。,https://movie.douban.com/subject/1900841/
40,飞越疯人院,9.0,284860, 米洛斯·福尔曼 Miloš Forman,1975,美国,剧情,自由万岁。,https://movie.douban.com/subject/1292224/
41,海豚湾,9.3,185845, Louie Psihoyos,2009,美国,纪录片,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
42,闻香识女人,8.9,331223, 马丁·布莱斯 Martin Brest,1992,美国,剧情,史上最美的探戈。,https://movie.douban.com/subject/1298624/
43,V字仇杀队,8.8,429004, 詹姆斯·麦克特格 James McTeigue,2005,美国 英国 德国,剧情 动作 科幻 惊悚,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
44,控方证人,9.6,94639, 比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
45,哈尔的移动城堡,8.9,360015, 宫崎骏 Hayao Miyazaki,2004,日本,爱情 动画 奇幻 冒险,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
46,教父2,9.1,192139, 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,优雅的孤独。,https://movie.douban.com/subject/1299131/
47,美丽心灵,8.9,312296, 朗·霍华德 Ron Howard,2001,美国,传记 剧情,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
48,死亡诗社,8.9,285969, 彼得·威尔 Peter Weir,1989,美国,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
49,指环王2：双塔奇兵,8.9,276965, 彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
50,指环王1：魔戒再现,8.9,309729, 彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,传说的开始。,https://movie.douban.com/subject/1291571/
51,辩护人,9.1,211968, 杨宇硕 Woo,2013,韩国,剧情,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
52,情书,8.8,384656, 岩井俊二 Shunji Iwai,1995,日本,剧情 爱情,暗恋的极致。,https://movie.douban.com/subject/1292220/
53,疯狂动物城,9.2,513283, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
54,美国往事,9.1,179309, 赛尔乔·莱翁内 Sergio Leone,1984,意大利 美国,犯罪 剧情,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
55,饮食男女,9.1,204127, 李安 Ang Lee,1994,台湾 美国,剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
56,天使爱美丽,8.7,491596, 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,喜剧 爱情,法式小清新。 ,https://movie.douban.com/subject/1292215/
57,钢琴家,9.0,207021, 罗曼·波兰斯基 Roman Polanski,2002,法国 德国 英国 波兰,剧情 传记 历史 战争,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
58,狮子王,8.9,287527, Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,剧情 动画 冒险 歌舞 家庭,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
59,七宗罪,8.7,443664, 大卫·芬奇 David Fincher,1995,美国,剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
60,被嫌弃的松子的一生,8.9,291468, 中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
61,致命魔术,8.8,350920, 克里斯托弗·诺兰 Christopher Nolan,2006,美国 英国,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
